State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage,date_updated
"Vermont","2022-09-24","All Results","3.552259773892598","5.056950043938663","5.976511117041561","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-22","1 Year","5.90885976990059","4.916088051120338","5.33645607099748","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-11-16","All Results","5.745048268645186","2.8773575944466225","2.8777398642011356","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-28","1 Year","16.86669818550818","7.014667397641093","9.151292514064558","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-05","All Results","2.349352670315215","2.4433021419641454","2.349352670315215","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-09-07","All Results","5.2242374291697455","8.565581908905443","8.621737300215266","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-01-13","All Results","17.425545800817385","10.076038474202292","11.557481946299783","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-15","1 Year","7.695607941938194","4.004607300172638","4.5004405162251935","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-07","1 Year","8.734526060293819","5.757488493098828","5.864509399775985","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-04-02","All Results","0.9871310025560244","1.4474841296759986","1.4495638288842467","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-06-25","All Results","20.298961999569208","6.4119645367443","7.1190279475158045","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-03-09","All Results","6.926284353154378","3.906965928923254","4.43493561199923","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-11-09","All Results","5.949535011315952","2.594775005776574","2.2077013168094126","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-07-06","All Results","3.2083158364807023","5.53108342119065","3.418409052915932","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2022-09-24","All Results","5.239937036061997","5.056950043938663","4.978476882806447","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-18","All Results","8.498492668558482","6.067038262510874","7.363335333167679","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-06-22","All Results","3.5617188280913075","3.743052738429699","2.497547091116702","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-03-26","All Results","0.23112547739499045","1.1716164703746457","0.9855549516619035","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-02-12","All Results","2.4451314061869853","4.213673464815251","3.3060350327043535","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-08","1 Year","10.529059692363537","6.654152584212768","6.410774533714423","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-03-30","All Results","4.727839783860405","2.2017498358792977","3.0254607943128655","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-18","1 Year","8.498492668558482","6.067038262510874","7.363335333167679","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-02-03","All Results","16.77807408691199","6.543903842857178","5.749596555545958","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-10-21","All Results","7.524871699450787","4.759367489995657","4.261489380386292","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-11-30","All Results","6.359497096450049","2.793497778134909","2.848027250662974","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-09-14","All Results","7.562319465662367","7.884387118525771","7.562319465662367","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-03-02","All Results","11.57669430862079","5.753713953751502","6.86681462179995","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-03-23","All Results","5.978900409551147","2.6254979444809243","2.9752229644110963","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-10-19","All Results","2.9155157703555155","3.2965299099855105","2.9155157703555155","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-02-26","All Results","6.566309304404939","1.877926962064676","3.1586425527679602","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-26","1 Year","2.9866144676477306","2.240837431518174","1.9999017619809316","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-08-17","All Results","11.49343100917691","10.194643425008815","9.83997154964171","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-03-19","All Results","0.915067408091547","1.1595849450081657","1.3122069723012681","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-05-03","All Results","4.584576428294583","2.0140624652171395","1.9147973245526875","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-11-02","All Results","3.131861130978886","2.837722573151088","2.9720385174429005","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-12","All Results","2.7761869113315383","2.2351301030832893","1.748811146408965","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-04-27","All Results","1.5061880952806985","1.7199554721670591","1.8920859418544793","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-08-03","All Results","14.128911584565078","9.84017555792604","7.440310534111771","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2025-05-03","All Results","1.0795416700262426","2.0140624652171395","2.107196838394196","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-05-18","All Results","0.7189608035215644","1.6425465860057469","1.2472339257074099","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-01","All Results","9.721743126526237","6.295062700794311","7.216605112050541","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-07-27","All Results","7.6873652159479136","8.703906480090767","6.1011174341315755","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-11-11","All Results","5.100042254517267","4.811432984732276","6.896329394450206","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-14","1 Year","10.342862337737813","5.2886432668360275","5.732462169024798","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-08-10","All Results","13.74204783799323","9.818732447626637","7.243049140715139","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-10-07","All Results","3.724846271172408","4.913723977106316","4.807555746357899","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2023-11-25","All Results","6.657097025782326","6.771734004804718","5.9585660379463725","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-01-29","All Results","13.93124000678175","12.961500565590478","12.698519640948101","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-29","All Results","4.5374646408903825","3.1637575002833866","3.575183790454096","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-04-20","All Results","1.9683067740556472","1.7280996615422803","1.9683067740556472","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2025-01-25","All Results","10.76090023147605","6.778176284390815","6.183738105657389","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-02-19","All Results","10.684792139655215","3.3672285876461396","5.130696394754603","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-05-04","All Results","1.5280541244471295","1.5584417546113658","1.3321330882588571","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-05-25","All Results","0.7696334816993144","1.8512591149174928","1.5294382708772787","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-10-28","All Results","11.549756577408905","4.80998539024154","5.484479361065469","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-05","1 Year","2.349352670315215","2.4433021419641454","2.349352670315215","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-10-14","All Results","5.838997909211404","4.874077958952135","4.412822879989758","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-06-11","All Results","5.072413768968487","5.509031358300704","6.605601462590579","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-03-16","All Results","6.967367512554934","3.0470616732971165","3.4819641832246297","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-29","1 Year","4.5374646408903825","3.1637575002833866","3.575183790454096","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-21","All Results","12.479601114709283","6.5434453019675285","6.240872551225581","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-06-04","All Results","27.17921254022137","7.0954296647871615","8.040463570419545","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-08-31","All Results","6.425612714318562","9.235529759761183","8.67480746285367","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-28","All Results","16.86669818550818","7.014667397641093","9.151292514064558","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-11","All Results","10.648404239508476","7.386690941484273","9.077850772672075","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-08","All Results","10.529059692363537","6.654152584212768","6.410774533714423","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2025-05-03","1 Year","1.0795416700262426","2.0140624652171395","2.107196838394196","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-10-26","All Results","4.697174404390326","3.4402988230708145","3.5380563187974525","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-25","All Results","8.527430351509015","6.778176284390815","7.372614463124241","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-07-13","All Results","4.953817256234318","6.392618842317239","5.0435426458648145","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-12-23","All Results","8.753868231528363","10.92266414350925","13.933132767432038","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-05-03","1 Year","4.584576428294583","2.0140624652171395","1.9147973245526875","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-07-20","All Results","5.552174458851351","7.907663221123571","4.594918987906307","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-19","1 Year","2.5299701418034863","2.4206323513959926","2.2998127171157985","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-11-23","All Results","7.101815341866444","2.6646730489816823","2.5020596588633413","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2023-09-23","All Results","4.537508877314163","5.329685805993859","5.09265509758424","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2022-07-16","All Results","11.79713334426809","9.833909554055126","11.053206562563492","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-09-28","All Results","7.786670624259742","4.716611437829917","4.563174267168745","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-06-01","All Results","0.5777661580502372","1.9368984999951473","1.7584483491571024","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-25","1 Year","8.527430351509015","6.778176284390815","7.372614463124241","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-11-18","All Results","6.438234655140863","4.989274470436027","8.898145517686451","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-15","1 Year","8.524032826419816","5.6026863675965295","7.255329499884366","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-02-17","All Results","10.965232379520895","6.989171415388756","8.099157220890794","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2022-07-23","All Results","11.770778648231758","10.080636236958096","11.770778648231758","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-04-13","All Results","3.434828675992131","1.9156964062901893","2.2905040642533407","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-01","1 Year","9.721743126526237","6.295062700794311","7.216605112050541","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-09-21","All Results","5.844508585761855","6.6495024839987185","6.712791525671268","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2022-05-07","All Results","1.318275945357552","4.460699899811297","4.592277842089029","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-04","1 Year","13.00877947724896","6.116876082100209","6.878065781721879","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-12-02","All Results","6.702576882118183","7.454070796690752","13.710604413351922","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2022-05-21","All Results","3.137084870744139","6.671691650208928","7.195330518570803","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-15","All Results","7.695607941938194","4.004607300172638","4.5004405162251935","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-09-23","All Results","4.465249262465895","5.329685805993859","5.566716514403478","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-01-06","All Results","8.044618188415262","13.617203836464467","13.887086122495472","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-01-27","All Results","18.401497540287657","8.633557535977786","7.066654401816972","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-22","1 Year","6.87475427281082","2.5450695334455484","3.0084213350473012","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-11","1 Year","10.648404239508476","7.386690941484273","9.077850772672075","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-12-30","All Results","8.596210611548306","13.4993924409652","15.052253215023066","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-07","All Results","8.734526060293819","5.757488493098828","5.864509399775985","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2024-04-27","All Results","1.007281971805339","1.7199554721670591","1.7022917082381044","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-12","1 Year","2.7761869113315383","2.2351301030832893","1.748811146408965","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2022-12-31","All Results","5.597818282282416","10.335479894874467","5.213872320770124","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-08-24","All Results","9.66618386318973","9.694130086056498","9.821047215073353","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-08","All Results","4.011705272806099","3.543313439222368","3.8649478364386605","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-05-11","All Results","1.1275302822431688","1.4179060573971412","1.2151229636027914","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-05-10","1 Year","4.71247538382673","1.7238284184718728","1.870769725170053","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2022-06-11","All Results","2.531207632548719","5.509031358300704","4.412461254010829","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2024-06-01","All Results","2.4863647334124805","1.9368984999951473","1.9440440064356865","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-01-15","All Results","3.2685288318620986","23.72538932749655","21.352681214750042","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-01-01","All Results","3.36848604328091","18.647427770877655","24.156986797037675","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-22","All Results","5.90885976990059","4.916088051120338","5.33645607099748","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-02-05","All Results","16.953920989841528","6.717227304995985","6.3739597412062325","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-12-09","All Results","8.377730479314833","7.753669217990917","11.701099829793616","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Vermont","2022-05-21","All Results","7.330031011424833","6.671691650208928","9.732017155898653","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-12-16","All Results","12.137058663664376","9.488943036324633","14.351346684562758","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-01-22","All Results","18.97751303430195","18.3445960549537","16.925832641493265","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-09-30","All Results","5.786092909718971","5.5227162134849195","5.786092909718971","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-14","All Results","10.342862337737813","5.2886432668360275","5.732462169024798","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-11-25","All Results","4.829612961876152","6.771734004804718","12.448550750201441","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-10-05","All Results","3.274981917418911","3.9394764600047827","3.7976166093572807","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-12-21","1 Year","12.479601114709283","6.5434453019675285","6.240872551225581","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-06-18","All Results","4.62945386324259","5.61638305479238","5.9152200522778955","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2022-06-04","All Results","1.8301514017249405","7.0954296647871615","6.150395759154778","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-01-20","All Results","14.410983553666856","8.176451849088803","8.129140742983703","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-06-15","All Results","3.630425569257151","2.6225860719331697","2.092381863696849","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Wyoming","2023-09-30","All Results","7.390187723713801","5.5227162134849195","5.259339517250869","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-01","1 Year","6.232596704856062","4.123930419552647","4.184984931211741","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-06-08","All Results","2.1092734159825937","2.2163106841957334","1.9318075575915112","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-01-08","All Results","1.3107359564036998","25.37472264867117","27.563979960738756","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-06-29","All Results","3.3020616183884033","4.552405222648535","3.2268781396124635","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2023-11-04","All Results","11.677208166265116","4.96685942682661","5.8425907188295","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2025-08-02","All Results","3.582552237954724","2.9242054217050693","3.3539772466760898","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-04-06","All Results","7.604227791251727","1.8647765315246563","2.672111454407835","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2023-07-08","All Results","3.2730373941099007","2.079448884588503","2.4144105753699048","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Oklahoma","2025-11-29","45 Days","3.1435737391176857","1.485298436964814","1.1215873840681474","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Oklahoma","2023-04-15","All Results","0.7717390507878332","2.1246214818978784","1.784214222528174","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2024-02-03","All Results","7.335834282047848","6.543903842857178","8.453929931749594","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Florida","2022-03-19","All Results","1.3122069723012681","1.1595849450081657","1.3122069723012681","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Hawaii","2022-05-14","All Results","9.735566654676525","5.530430866184956","4.536120445219777","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Michigan","2025-11-15","1 Year","1.3361491038819584","1.4504711116819653","1.827633974918156","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-06-29","All Results","3.6034774305767954","4.552405222648535","4.247772961000319","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2024-08-31","All Results","13.907320240019132","9.235529759761183","9.796252056668697","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2023-03-11","All Results","1.4123983488448744","3.7931814938686634","2.9377776996752454","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Florida","2022-01-22","All Results","14.465336705004848","18.3445960549537","16.925832641493265","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2024-03-23","All Results","4.013164860183436","2.6254979444809243","3.4000598922427177","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Hawaii","2022-06-04","All Results","7.128821506812245","7.0954296647871615","8.743752240797638","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2022-09-17","All Results","4.762574636984834","4.988450265800649","4.843204161003707","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Oklahoma","2025-05-10","All Results","0.8300092525467542","1.7238284184718728","1.5768871117736927","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Michigan","2025-12-06","6 Months","3.18850209752599","2.4036715610044417","3.18850209752599","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Michigan","2025-12-06","45 Days","3.18850209752599","2.4036715610044417","3.18850209752599","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Maine","2022-08-27","All Results","6.292619824385159","5.778700331020123","4.9256576848125775","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-12-07","1 Year","2.0735427258521026","5.757488493098828","3.1023543686612376","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Ohio","2024-07-06","All Results","4.461105142229659","5.53108342119065","3.418409052915932","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"New York","2025-11-29","6 Months","1.5040384971031202","1.485298436964814","1.8310943480291317","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2025-12-06","6 Months","0.809867039740318","2.4036715610044417","1.6188410244828932","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2022-12-31","All Results","12.135979324658463","10.335479894874467","12.173295109825627","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Indiana","2022-05-07","All Results","4.902142669062159","4.460699899811297","4.329121957533565","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Maryland","2023-10-14","All Results","3.597807142590084","4.874077958952135","3.597807142590084","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-04-27","All Results","1.5830073251022334","1.7199554721670591","1.7022917082381044","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Alabama","2022-07-23","All Results","9.777630988530023","10.080636236958096","10.530136470148346","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arizona","2023-07-01","All Results","1.5121864330894323","1.6528192804597865","1.9084976160948868","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2025-07-19","6 Months","2.6262665127335416","2.0417560228414526","2.292691880199725","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2025-05-03","All Results","2.2476383878881254","2.0140624652171395","2.107196838394196","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2025-01-11","1 Year","3.906097221480637","7.386690941484273","5.6955311102964705","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Michigan","2025-11-22","1 Year","2.1294584921864845","1.6907320402749075","2.175049090559913","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-05-04","All Results","3.835129880306205","1.5584417546113658","1.6672142550126845","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2025-11-29","All Results","1.7764734805511107","1.485298436964814","1.1215873840681474","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Arkansas","2022-07-30","All Results","7.570073277162768","9.195534837386699","8.88007213275245","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Florida","2022-02-19","All Results","2.5796990030792903","3.3672285876461396","5.130696394754603","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"Mississippi","2024-02-03","All Results","18.34902805767659","6.543903842857178","8.453929931749594","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"New York","2025-11-29","All Results","1.5040384971031202","1.485298436964814","1.8310943480291317","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
