Week_Ending_Date,Data_Collection_Period,State/Territory,State/Territory_WVAL,WVAL_Category,Coverage,National_WVAL,Regional_WVAL,date_updated
"2023-01-14","All Results","Maryland","3.914083446921638","Low","Limited Coverage","5.291988397933244","3.914083446921638","2025-12-11T08:09:27.575Z"
"2025-05-03","All Results","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-15","All Results","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-10-18","All Results","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-03-09","All Results","New York","5.85328776075009","Low","Limited Coverage","4.632118287045177","5.918216814438254","2025-12-11T08:09:27.575Z"
"2025-09-06","1 Year","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-11-19","All Results","North Carolina","8.862387398472043","Moderate","Limited Coverage","8.066354785156424","9.043171635597728","2025-12-11T08:09:27.575Z"
"2025-06-14","All Results","Oklahoma","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-03-23","All Results","South Dakota","6.04520160260541","Low","Limited Coverage","3.333284667235409","4.125259906892169","2025-12-11T08:09:27.575Z"
"2022-09-03","All Results","Texas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-09-03","All Results","Idaho","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-06-28","6 Months","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-02-08","All Results","New York","21.496231558428782","Very High","Limited Coverage","18.869898987596738","21.076954708330447","2025-12-11T08:09:27.575Z"
"2024-12-28","All Results","New York","10.622383910491514","Moderate","Limited Coverage","8.150383607740117","7.910176467368954","2025-12-11T08:09:27.575Z"
"2023-07-15","All Results","North Carolina","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-12-23","All Results","Arizona","20.500226759114355","Very High","Limited Coverage","9.55500852959318","14.130354486581105","2025-12-11T08:09:27.575Z"
"2023-05-20","All Results","Hawaii","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-08-05","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-05-18","All Results","Michigan","4.782122903163234","Low","Limited Coverage","1.748350924760166","2.0350234675028633","2025-12-11T08:09:27.575Z"
"2025-06-14","6 Months","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-08-30","All Results","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-12-06","All Results","Mississippi","1.7325193861643242","Very Low","Limited Coverage","3.1165447076921016","3.7998849279434084","2025-12-11T08:09:27.575Z"
"2025-06-21","6 Months","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-04-19","1 Year","Mississippi","1.771923879897993","Very Low","Limited Coverage","1.1543867907071528","1.0","2025-12-11T08:09:27.575Z"
"2023-09-02","All Results","North Carolina","1.2872372741291116","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-24","All Results","North Carolina","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-11-11","All Results","Tennessee","2.8155528925374584","Low","Limited Coverage","2.0191516089227384","2.2802110895407597","2025-12-11T08:09:27.575Z"
"2022-06-11","All Results","Texas","1.154768119067556","Very Low","Limited Coverage","1.7404197518558255","1.154768119067556","2025-12-11T08:09:27.575Z"
"2023-02-11","All Results","Colorado","1.0","Very Low","Limited Coverage","1.9717459895346947","1.5672034512314044","2025-12-11T08:09:27.575Z"
"2023-05-20","All Results","Delaware","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-05-04","All Results","Missouri","1.0","Very Low","Limited Coverage","2.0688477007294375","2.8665687186686046","2025-12-11T08:09:27.575Z"
"2025-02-01","All Results","Montana","14.005224302068534","High","Limited Coverage","17.918784602336146","15.886536607716709","2025-12-11T08:09:27.575Z"
"2025-05-24","1 Year","New York","1.2576753529828695","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-03-04","All Results","North Carolina","1.0","Very Low","Limited Coverage","1.3050626277837973","1.0","2025-12-11T08:09:27.575Z"
"2023-09-09","All Results","North Carolina","1.7048363350633773","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-05-20","All Results","North Carolina","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-22","All Results","South Dakota","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-05-18","All Results","South Dakota","3.286576179520862","Low","Limited Coverage","1.748350924760166","2.0350234675028633","2025-12-11T08:09:27.575Z"
"2023-05-13","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-15","6 Months","Michigan","1.219572817008589","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-29","1 Year","Michigan","2.7589084775728843","Low","Limited Coverage","1.7305745870615572","1.0","2025-12-11T08:09:27.575Z"
"2024-05-11","All Results","Mississippi","8.022638913879327","Moderate","Limited Coverage","1.9344484073773114","1.0","2025-12-11T08:09:27.575Z"
"2024-05-18","All Results","South Carolina","1.0","Very Low","Limited Coverage","1.748350924760166","1.0","2025-12-11T08:09:27.575Z"
"2024-12-14","1 Year","South Dakota","3.868946810595302","Low","Limited Coverage","2.2528061690543764","2.2940016375336683","2025-12-11T08:09:27.575Z"
"2024-01-06","All Results","Arkansas","17.25775670290837","High","Limited Coverage","11.586042068746135","11.246092088168549","2025-12-11T08:09:27.575Z"
"2025-09-13","1 Year","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-01-06","All Results","Indiana","8.080880802494725","Moderate","Limited Coverage","11.586042068746135","6.513951663707962","2025-12-11T08:09:27.575Z"
"2022-12-17","All Results","Iowa","25.011371502507405","Very High","Limited Coverage","14.653267313295938","15.942659429849646","2025-12-11T08:09:27.575Z"
"2023-02-18","All Results","Iowa","4.063177335925619","Low","Limited Coverage","1.6822740252896287","1.96282206490622","2025-12-11T08:09:27.575Z"
"2025-09-06","6 Months","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-07-19","6 Months","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-10-01","All Results","Minnesota","1.0","Very Low","Limited Coverage","1.5234886561287575","1.3997738535007196","2025-12-11T08:09:27.575Z"
"2024-02-17","All Results","New York","11.76165506143221","High","Limited Coverage","6.4930535268181195","8.870459083929049","2025-12-11T08:09:27.575Z"
"2023-06-17","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-04-29","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-07-26","1 Year","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-07-02","All Results","Colorado","1.0","Very Low","Limited Coverage","1.2942013553103084","1.2942013553103084","2025-12-11T08:09:27.575Z"
"2023-07-01","All Results","Colorado","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-09-24","All Results","Colorado","1.7341082009217565","Very Low","Limited Coverage","1.3895971037521324","1.6861331512489734","2025-12-11T08:09:27.575Z"
"2023-04-15","All Results","Delaware","1.0","Very Low","Limited Coverage","1.0152113595752335","1.0","2025-12-11T08:09:27.575Z"
"2024-08-31","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-06-07","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-09-14","All Results","New York","1.3422270075098286","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-07-05","6 Months","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-01-20","All Results","South Dakota","2.7396549747862204","Low","Limited Coverage","7.129394767706322","5.120046251931193","2025-12-11T08:09:27.575Z"
"2023-04-01","All Results","Delaware","1.0","Very Low","Limited Coverage","1.082714417652879","1.0","2025-12-11T08:09:27.575Z"
"2022-09-24","All Results","Illinois","1.2943334250901635","Very Low","Limited Coverage","1.3895971037521324","1.0","2025-12-11T08:09:27.575Z"
"2024-01-27","All Results","Indiana","7.719964535486767","Moderate","Limited Coverage","7.137480096880067","5.092870088265542","2025-12-11T08:09:27.575Z"
"2023-04-08","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0734111026990503","1.0","2025-12-11T08:09:27.575Z"
"2022-08-13","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-06-28","6 Months","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-09-07","All Results","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-09-06","6 Months","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-04-06","All Results","New York","4.51989668488489","Low","Limited Coverage","2.6915611093471954","3.099917804976272","2025-12-11T08:09:27.575Z"
"2025-06-14","1 Year","Oklahoma","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-12-23","All Results","Pennsylvania","9.475868073090837","Moderate","Limited Coverage","9.55500852959318","9.024919864405405","2025-12-11T08:09:27.575Z"
"2024-12-28","All Results","South Carolina","22.329516736158755","Very High","Limited Coverage","8.150383607740117","8.39059074811128","2025-12-11T08:09:27.575Z"
"2024-08-31","All Results","South Dakota","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-04-06","All Results","Arizona","1.0000000000000018","Very Low","Limited Coverage","2.6915611093471954","2.230473280592931","2025-12-11T08:09:27.575Z"
"2023-10-28","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.0322958409102616","1.0645916818205232","2025-12-11T08:09:27.575Z"
"2024-06-15","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.193203168492896","1.0","2025-12-11T08:09:27.575Z"
"2022-05-14","All Results","Idaho","1.7926645451815837","Very Low","Limited Coverage","2.177422339751756","1.7926645451815837","2025-12-11T08:09:27.575Z"
"2023-02-04","All Results","Michigan","4.522920259616385","Low","Limited Coverage","2.255143585406013","2.406185200857765","2025-12-11T08:09:27.575Z"
"2023-11-25","All Results","Michigan","3.283325929950573","Low","Limited Coverage","2.978125220926851","2.3364948362153175","2025-12-11T08:09:27.575Z"
"2022-09-17","All Results","Minnesota","1.0","Very Low","Limited Coverage","1.046942466991124","1.0","2025-12-11T08:09:27.575Z"
"2025-02-15","All Results","New York","15.171962776457331","High","Limited Coverage","17.219929653790864","19.821329793553822","2025-12-11T08:09:27.575Z"
"2024-09-21","All Results","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-01-25","1 Year","South Carolina","21.03935619125579","Very High","Limited Coverage","18.91112680048799","19.641435030257988","2025-12-11T08:09:27.575Z"
"2025-11-15","6 Months","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-10","All Results","Colorado","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-06-04","All Results","Idaho","1.9478292199881075","Very Low","Limited Coverage","2.3880196636706907","3.865578703914655","2025-12-11T08:09:27.575Z"
"2023-05-27","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-09-09","All Results","Iowa","1.5379258296193756","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-22","All Results","Maryland","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-04-13","All Results","Michigan","4.32294281631274","Low","Limited Coverage","2.91607407675488","3.1582474410059502","2025-12-11T08:09:27.575Z"
"2025-03-22","All Results","New York","5.603978417009913","Low","Limited Coverage","3.7217366413958355","3.515759707301603","2025-12-11T08:09:27.575Z"
"2023-10-07","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-29","45 Days","Arkansas","1.0","Very Low","Limited Coverage","1.7305745870615572","1.8138397419805734","2025-12-11T08:09:27.575Z"
"2023-07-08","All Results","Colorado","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-22","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-05-14","All Results","Michigan","5.777120450592606","Low","Limited Coverage","2.177422339751756","5.777120450592606","2025-12-11T08:09:27.575Z"
"2023-03-04","All Results","Minnesota","1.0","Very Low","Limited Coverage","1.3050626277837973","1.1589003747233024","2025-12-11T08:09:27.575Z"
"2023-06-03","All Results","South Dakota","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-03-29","All Results","South Dakota","1.2739980135198614","Very Low","Limited Coverage","1.9588761788141453","1.471086702121531","2025-12-11T08:09:27.575Z"
"2023-12-16","All Results","Arkansas","1.768009871271019","Very Low","Limited Coverage","7.444367759823258","6.003127793087804","2025-12-11T08:09:27.575Z"
"2023-12-16","All Results","Michigan","7.133041425341299","Moderate","Limited Coverage","7.444367759823258","6.187099876108431","2025-12-11T08:09:27.575Z"
"2022-12-24","All Results","Michigan","15.903464689700854","High","Limited Coverage","15.060890978726178","12.631425458949794","2025-12-11T08:09:27.575Z"
"2025-03-29","1 Year","Michigan","8.700244483346996","Moderate","Limited Coverage","1.9588761788141453","1.471086702121531","2025-12-11T08:09:27.575Z"
"2024-11-30","All Results","Mississippi","1.4174067595561848","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-11-11","All Results","Iowa","3.2789479663614394","Low","Limited Coverage","2.0191516089227384","1.0","2025-12-11T08:09:27.575Z"
"2023-10-14","All Results","Iowa","4.550563882145548","Low","Limited Coverage","1.3866011673308356","1.0","2025-12-11T08:09:27.575Z"
"2025-03-29","All Results","Michigan","8.700244483346996","Moderate","Limited Coverage","1.9588761788141453","1.471086702121531","2025-12-11T08:09:27.575Z"
"2024-02-03","All Results","New Mexico","4.650259967862392","Low","Limited Coverage","6.214511576340334","5.2676148152460325","2025-12-11T08:09:27.575Z"
"2025-10-18","6 Months","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-05-06","All Results","Ohio","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-09-02","All Results","Pennsylvania","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-08-26","All Results","Pennsylvania","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-02-22","All Results","Arkansas","3.2543389648346115","Low","Limited Coverage","13.938229007729623","9.73596420976957","2025-12-11T08:09:27.575Z"
"2023-07-15","All Results","Colorado","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-12-09","All Results","Connecticut","2.7547331312115957","Low","Limited Coverage","6.064355211927234","6.757766441480671","2025-12-11T08:09:27.575Z"
"2023-10-21","All Results","Iowa","1.0","Very Low","Limited Coverage","1.3419655661590166","1.0","2025-12-11T08:09:27.575Z"
"2024-02-24","All Results","Maryland","4.698595854630087","Low","Limited Coverage","6.108822871438287","4.012737601257068","2025-12-11T08:09:27.575Z"
"2025-08-09","1 Year","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-06-15","All Results","Mississippi","1.4344502914752113","Very Low","Limited Coverage","1.193203168492896","1.0","2025-12-11T08:09:27.575Z"
"2024-11-23","All Results","Mississippi","1.481009491441168","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-12-02","All Results","Mississippi","3.275943090491094","Low","Limited Coverage","4.4921280348059485","4.502938584921393","2025-12-11T08:09:27.575Z"
"2025-01-04","All Results","New York","8.158234624840091","Moderate","Limited Coverage","10.648901270441513","11.309109178542935","2025-12-11T08:09:27.575Z"
"2025-05-03","1 Year","New York","2.2899758058011614","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-04-15","All Results","North Carolina","1.374577340535013","Very Low","Limited Coverage","1.0152113595752335","1.0","2025-12-11T08:09:27.575Z"
"2024-10-19","All Results","South Dakota","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-11-04","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.6669733464389154","2.1523658641444143","2025-12-11T08:09:27.575Z"
"2022-09-17","All Results","Indiana","1.0","Very Low","Limited Coverage","1.046942466991124","1.0","2025-12-11T08:09:27.575Z"
"2023-08-26","All Results","Iowa","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-10-11","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-04-12","1 Year","Michigan","4.94822328235621","Low","Limited Coverage","1.2423980151562468","1.4847960303124936","2025-12-11T08:09:27.575Z"
"2023-09-23","All Results","Oregon","3.1998747348377266","Low","Limited Coverage","1.0","1.1577564177346849","2025-12-11T08:09:27.575Z"
"2022-12-17","All Results","Virginia","68.76046388412203","Very High","Limited Coverage","14.653267313295938","10.398363611504491","2025-12-11T08:09:27.575Z"
"2025-11-29","6 Months","Arkansas","1.0","Very Low","Limited Coverage","1.7305745870615572","1.8138397419805734","2025-12-11T08:09:27.575Z"
"2023-01-14","All Results","Minnesota","4.283579340621455","Low","Limited Coverage","5.291988397933244","4.283579340621455","2025-12-11T08:09:27.575Z"
"2025-08-16","6 Months","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-05-11","All Results","New Mexico","1.0","Very Low","Limited Coverage","1.9344484073773114","2.933540724701132","2025-12-11T08:09:27.575Z"
"2025-05-31","All Results","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-15","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-09-24","All Results","Indiana","1.0","Very Low","Limited Coverage","1.3895971037521324","1.0","2025-12-11T08:09:27.575Z"
